id,distance,duration
2496460,301,37
2499257,341,101
2500662,163,93
2502368,19,3
2502543,28,6
2503408,388,78
2509236,781,172
2510224,184,58
2516026,333,120
2518781,285,89
2521327,60,8
2532756,80,60
2538807,273,55
2539953,343,83
2545771,647,91
2550991,503,89
2551994,422,150
2558763,88,16
2559297,73,20
2564006,438,120
2564140,458,116
2585410,596,149
2594714,235,54
2594715,1034,183
2611820,441,101
2614717,82,44
2620371,317,82
2635278,217,79
2636716,620,197
2645189,149,40
2657854,57,16
2658295,52,9
2677273,288,78
2677288,130,40
2683857,47,7
2702606,283,64
2709883,837,118
2710372,44,8
2723005,58,13
2736358,147,25
2737894,36,9
2738331,134,53
2739477,86,24
2747383,197,37
2771688,185,87
2783251,488,150
2784888,57,9
2790637,31,7
2802418,236,35
2804417,1309,272
2816626,206,47
2824612,350,108
2825966,133,28
2890120,102,47
2893920,206,54
2925557,38,9
2926901,101,23
2933105,140,26
2933899,115,28
2935400,656,115
2937902,541,168
2939849,52,11
2943327,68,16
2944843,392,55
2949071,149,45
2950592,382,78
2956406,385,60
2959323,393,104
2960229,438,128
2965433,25,8
2968738,747,149
2970161,367,90
2970253,152,40
2980184,1067,191
2980416,593,180
2984463,378,95
3013427,142,34
3013520,397,103
3015450,1789,253
3028924,215,54
3030653,837,180
3036967,1032,247
3042811,338,80
3043102,162,45
3068285,125,26
3073038,525,121
3073393,543,158
3079665,198,70
3079929,1188,321
3081324,346,85
3081560,271,63
3082327,425,103
3093070,44,7
3093543,1450,370
3105361,164,73
3105998,43,33
3112427,585,95
3114387,133,26
3115424,150,50
3116428,37,5
3116974,110,22
3123536,839,167
3124541,199,36
3133266,140,36
3140113,143,30
3157463,303,67
3157541,234,50
3168359,22,4
3175769,233,52
3176619,39,7
3183280,4132,341
3200431,271,87
3201044,83,42
3205059,274,43
3218306,522,111
3221082,90,19
3225725,340,82
3230459,38,8
3240016,326,77
3246879,502,146
3250486,34,46
3250833,60,18
3256704,113,39
3257886,187,32
3257979,52,17
3261876,77,12
3262216,2824,216
3263219,351,53
3271517,78,18
3280443,92,40
3290739,144,62
3292643,323,54
3311711,187,39
3319159,208,67
3319447,90,12
3324760,70,17
3325741,232,43
3326640,312,93
3333870,575,146
3343629,45,9
3354928,270,72
3355334,145,44
3376512,6,1
3377936,205,40
3384413,217,54
3391368,152,94
3395051,16,3
3402610,480,153
3415171,38,11
3419211,173,50
3434710,176,85
3441517,551,109
3441949,250,81
3442439,264,69
3475515,90,33
3476601,18,4
3479568,71,21
3482655,295,75
3509878,398,106
3519611,159,30
3520817,45,9
3522990,7,1
3523282,268,55
3532347,60,20
3534282,38,18
3549398,1127,165
3563261,274,50
3569985,364,81
3571735,60,10
3612236,11,3
3613500,211,74
3655811,70,15
3664261,628,148
3664693,25,6
3672198,473,120
3689368,456,92
3697738,194,46
3712976,209,45
3716504,79,34
3718865,85,21
3719923,113,21
3720392,599,98
3721927,165,45
3727061,69,18
3743219,71,12
3757966,131,48
3759246,47,7
3759368,27,5
3761446,442,85
3775090,205,46
3780418,57,14
3791003,170,51
3792754,78,15
3811916,53,20
3812931,73,10
3826407,403,112
3832296,68,10
3852803,163,44
3862478,142,23
3870174,108,31
3877462,62,22
3883252,522,141
3889219,248,62
3890704,158,33
3895335,110,68
3895951,45,11
3896205,32,8
3946571,163,61
3962831,464,139
3994686,168,33
4013746,258,53
4014209,30,4
4015985,686,151
4022209,176,39
4022990,121,31
4023249,311,51
4023585,60,9
4024236,1232,165
4026354,538,145
4033038,374,105
4037590,429,126
4045632,467,126
4052091,383,112
4059549,211,53
4075971,243,49
4077186,121,26
4093013,627,132
4093967,125,34
4097700,60,19
4100473,268,67
4104344,615,108
4105892,73,21
4106442,323,95
4110344,194,67
4121114,122,19
4122671,202,80
4135201,21,4
4152054,565,106
4157192,164,40
4157431,88,24
4175174,114,23
4183088,52,12
4191242,132,85
4199015,264,69
4215907,788,187
4227441,38,12
4242823,252,64
4243837,230,44
4250927,215,52
4252808,369,60
4257302,286,86
4259418,204,56
4269254,466,162
4271413,106,31
4277696,1166,303
4280408,52,11
4287481,248,106
4305042,925,234
4319230,122,32
4358868,449,102
4359078,119,31
4359626,152,33
4365969,206,31
4372435,220,45
4387067,0,0
4392441,29,8
4402199,26,6
4416566,805,171
4417901,800,255
4418649,195,62
4429527,143,35
4430996,100,13
4439461,12,3
4445540,406,71
4446003,164,49
4461197,137,31
4462326,130,21
4463165,130,21
4463263,120,19
4464347,100,13
4476390,28,5
4483550,88,15
4493744,131,40
4500244,288,86
4510968,288,100
4517932,242,71
4518031,528,158
4519757,100,13
4519780,835,259
4525604,223,57
4526608,511,95
4527553,240,57
4532551,191,72
4533440,410,102
4533652,125,48
4549330,186,55
4549485,43,7
4550843,375,120
4558566,180,43
4558898,97,24
4575906,82,51
4576288,265,65
4577224,152,31
4588670,206,69
4594018,1125,221
4597675,624,145
4603953,229,60
4607177,78,24
4607282,441,66
4614763,209,69
4616040,251,85
4616596,242,68
4617719,168,67
4624467,259,86
4631873,188,34
4632133,316,69
4638176,311,60
4638678,865,260
4639434,67,16
4650391,133,21
4653332,410,73
4654218,23,7
4654737,124,45
4663060,23,4
4663132,146,24
4668872,170,62
4670847,96,28
4677343,373,39
4678599,209,51
4695477,224,59
4701489,732,185
4710280,487,118
4713319,1322,202
4718629,200,45
4719139,37,8
4720512,428,106
4728615,611,195
4748287,62,12
4752666,40,7
4760192,67,17
4773944,227,56
4774742,560,79
4788133,54,7
4807817,186,40
4808522,491,116
4825026,46,9
4832436,918,168
4838843,154,30
4855194,10,2
4855686,366,103
4856290,256,107
4863182,215,77
4867594,276,66
4880695,25,3
4880988,235,46
4887475,74,22
4887587,655,205
4890230,831,258
4892016,100,26
4896087,34,7
4897143,137,39
4897595,181,70
4902063,65,26
4902365,800,255
4902444,24,3
4902565,57,21
4902729,156,60
4902855,482,160
4902907,503,144
4907924,125,37
4909117,76,29
4936887,258,61
4948327,83,13
4948340,177,49
4949779,52,16
4956697,215,47
4957143,39,8
4959980,416,83
4965866,489,123
4987668,50,11
4993804,173,73
5004303,11,3
5005798,104,36
5013816,164,56
5019863,338,114
5025420,475,145
5027016,378,56
5039206,168,31
5045601,137,29
5068486,327,80
5069984,44,12
5070054,367,153
5070924,717,182
5070945,866,260
5070957,611,194
5070973,710,180
5076251,135,47
5094146,64,11
5114942,538,127
5117701,17,5
5144482,601,85
5151423,331,99
5154227,146,34
5154242,141,32
5154367,117,20
5162669,105,42
5172959,257,64
5174935,99,15
5193689,73,12
5194736,282,82
5195922,100,26
5196070,147,33
5196116,30,12
5196142,26,7
